"id","name","age","email_id","hire_date","time","attendance"
1,"ABCD",20,"2025emp001@zoho.ac.in","2025-01-01","2025-06-20 16:53:06.914753+05:30","PRESENT"
2,"Alice",25,"alice001@zoho.ac.in  ","2024-01-10","2025-06-20 16:53:06.914753+05:30","PRESENT"
3,"Bob",30,"bob002@zoho.ac.in    ","2023-12-05","2025-06-20 16:53:06.914753+05:30","PRESENT"
4,"Charlie",28,"charlie003@zoho.ac.in","2022-06-15","2025-06-20 16:53:06.914753+05:30","PRESENT"
6,"Ethan",22,"ethan005@zoho.ac.in  ","2023-03-20","2025-06-20 16:53:06.914753+05:30","PRESENT"
7,"Fiona",27,"fiona006@zoho.ac.in  ","2024-11-11","2025-06-20 16:53:06.914753+05:30","PRESENT"
9,"Hannah",29,"hannah008@zoho.ac.in ","2023-09-30","2025-06-20 16:53:06.914753+05:30","PRESENT"
10,"Ian",26,"ian009@zoho.ac.in    ","2022-10-22","2025-06-20 16:53:06.914753+05:30","PRESENT"
5,"Diana",35,"diana004@zoho.ac.in  ","2025-01-01","2025-06-20 16:53:06.914753+05:30","ABSENT"
8,"George",32,"george007@zoho.ac.in ","2021-07-09","2025-06-20 16:53:06.914753+05:30","ABSENT"
11,"Julia",31,"julia010@zoho.ac.in  ","2020-08-17","2025-06-20 16:53:06.914753+05:30","ABSENT"
